epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,157.684,1.54222,0.8939,0.9946,0.36905,0.00333244,0.00333244,0.00333244
2,296.391,0.97242,0.9221,0.9956,0.34772,0.00659979,0.00659979,0.00659979
3,430.165,1.21049,0.9228,0.9953,0.35425,0.00980113,0.00980113,0.00980113
4,561.271,1.20985,0.9587,0.9981,0.20422,0.009703,0.009703,0.009703
5,690.928,0.77833,0.964,0.9993,0.13829,0.009604,0.009604,0.009604
6,819.414,0.56696,0.9721,0.9998,0.11647,0.009505,0.009505,0.009505
7,948.269,0.47316,0.9256,0.9997,0.58751,0.009406,0.009406,0.009406
8,1077.43,0.42744,0.9794,0.9995,0.08847,0.009307,0.009307,0.009307
9,1207.01,0.4141,0.9826,0.9998,0.07631,0.009208,0.009208,0.009208
10,1336.22,0.42821,0.9798,1,0.08265,0.009109,0.009109,0.009109
11,1465.85,0.39105,0.9825,1,0.0766,0.00901,0.00901,0.00901
12,1594.57,0.38206,0.9814,0.9997,0.07559,0.008911,0.008911,0.008911
13,1723.89,0.3676,0.984,0.9999,0.07164,0.008812,0.008812,0.008812
14,1853.31,0.36753,0.9831,0.9999,0.06982,0.008713,0.008713,0.008713
15,1983.32,0.37083,0.983,0.9999,0.06693,0.008614,0.008614,0.008614
16,2115.76,0.34534,0.9839,1,0.06461,0.008515,0.008515,0.008515
17,2244.8,0.34606,0.9843,0.9999,0.063,0.008416,0.008416,0.008416
18,2376.65,0.3237,0.9839,0.9999,0.06241,0.008317,0.008317,0.008317
19,2507.32,0.32109,0.9841,0.9999,0.06146,0.008218,0.008218,0.008218
20,2636.07,0.29667,0.9842,0.9999,0.06104,0.008119,0.008119,0.008119
21,2765.42,0.29441,0.9845,0.9999,0.06047,0.00802,0.00802,0.00802
22,2894.31,0.29978,0.985,0.9999,0.05993,0.007921,0.007921,0.007921
23,3024.21,0.3014,0.9854,0.9999,0.05963,0.007822,0.007822,0.007822
24,3153.14,0.3075,0.9853,0.9999,0.05986,0.007723,0.007723,0.007723
25,3281.99,0.31971,0.9853,0.9999,0.05976,0.007624,0.007624,0.007624
26,3410.45,0.30231,0.9855,0.9999,0.06021,0.007525,0.007525,0.007525
27,3541.19,0.272,0.9853,0.9999,0.06049,0.007426,0.007426,0.007426
28,3671.07,0.27407,0.9851,0.9999,0.06116,0.007327,0.007327,0.007327
29,3802.1,0.27335,0.9854,0.9999,0.06065,0.007228,0.007228,0.007228
30,3933.37,0.29648,0.9853,0.9999,0.06066,0.007129,0.007129,0.007129
31,4063.44,0.37091,0.9852,0.9999,0.0606,0.00703,0.00703,0.00703
32,4194.22,0.33341,0.9853,0.9999,0.06101,0.006931,0.006931,0.006931
33,4323.54,0.28197,0.9857,0.9999,0.0601,0.006832,0.006832,0.006832
34,4452.95,0.25731,0.9856,0.9999,0.06017,0.006733,0.006733,0.006733
35,4582.74,0.25806,0.9857,0.9999,0.05974,0.006634,0.006634,0.006634
36,4712.9,0.24952,0.9863,0.9999,0.05955,0.006535,0.006535,0.006535
37,4842.04,0.24462,0.9859,0.9999,0.05911,0.006436,0.006436,0.006436
38,4970.95,0.29123,0.9861,0.9999,0.05884,0.006337,0.006337,0.006337
39,5100.52,0.2956,0.9861,0.9999,0.05906,0.006238,0.006238,0.006238
40,5230.34,0.2729,0.9859,0.9999,0.05906,0.006139,0.006139,0.006139
41,5360.24,0.26031,0.9863,0.9999,0.05938,0.00604,0.00604,0.00604
42,5491.01,0.26897,0.9868,0.9999,0.05925,0.005941,0.005941,0.005941
43,5621.28,0.25951,0.9868,1,0.05939,0.005842,0.005842,0.005842
44,5750.82,0.25255,0.9867,1,0.05963,0.005743,0.005743,0.005743
45,5881.09,0.24284,0.9869,1,0.05912,0.005644,0.005644,0.005644
46,6011.75,0.23483,0.987,1,0.05899,0.005545,0.005545,0.005545
47,6142.41,0.23147,0.9869,1,0.05858,0.005446,0.005446,0.005446
48,6273.4,0.23435,0.9873,1,0.05774,0.005347,0.005347,0.005347
49,6404.92,0.21598,0.9869,0.9999,0.05696,0.005248,0.005248,0.005248
50,6534.65,0.24232,0.9871,0.9999,0.05715,0.005149,0.005149,0.005149
51,6665.22,0.24523,0.9872,0.9999,0.05687,0.00505,0.00505,0.00505
52,6795.31,0.21478,0.9874,0.9999,0.0565,0.004951,0.004951,0.004951
53,6926.15,0.21328,0.9877,0.9999,0.05613,0.004852,0.004852,0.004852
54,7056.67,0.21125,0.9875,0.9999,0.05596,0.004753,0.004753,0.004753
55,7187.48,0.20464,0.9874,0.9999,0.05587,0.004654,0.004654,0.004654
56,7319.37,0.20313,0.988,0.9999,0.05533,0.004555,0.004555,0.004555
57,7450.46,0.20319,0.9879,0.9999,0.05497,0.004456,0.004456,0.004456
58,7581.23,0.20568,0.9876,0.9999,0.05465,0.004357,0.004357,0.004357
59,7712.57,0.19985,0.9875,0.9999,0.05379,0.004258,0.004258,0.004258
60,7843.75,0.20398,0.9876,0.9999,0.05342,0.004159,0.004159,0.004159
61,7974.33,0.20161,0.9878,0.9999,0.05264,0.00406,0.00406,0.00406
62,8105.36,0.19679,0.9878,0.9999,0.05233,0.003961,0.003961,0.003961
63,8236.19,0.19294,0.9878,0.9999,0.05199,0.003862,0.003862,0.003862
64,8366.68,0.19549,0.9878,0.9999,0.0516,0.003763,0.003763,0.003763
65,8497.41,0.18738,0.9877,0.9999,0.05096,0.003664,0.003664,0.003664
66,8627.52,0.18927,0.9878,0.9999,0.05044,0.003565,0.003565,0.003565
67,8757.47,0.19263,0.9881,0.9999,0.05003,0.003466,0.003466,0.003466
68,8887.44,0.1903,0.988,0.9999,0.04968,0.003367,0.003367,0.003367
69,9018.22,0.18676,0.9883,0.9999,0.04892,0.003268,0.003268,0.003268
70,9148.98,0.18807,0.9882,1,0.04833,0.003169,0.003169,0.003169
71,9279.35,0.18068,0.9883,1,0.04785,0.00307,0.00307,0.00307
72,9410.64,0.17736,0.9883,1,0.04746,0.002971,0.002971,0.002971
